country,year,pop,continent,lifeExp,gdpPercap
Benin,2007,8078314,Africa,56.728,1441.284873
Bolivia,1952,2883315,Americas,40.414,2677.326347
Bolivia,1957,3211738,Americas,41.89,2127.686326
Bolivia,1962,3593918,Americas,43.428,2180.972546
Bolivia,1967,4040665,Americas,45.032,2586.886053
Bolivia,1972,4565872,Americas,46.714,2980.331339
Bolivia,1977,5079716,Americas,50.023,3548.097832
Bolivia,1982,5642224,Americas,53.859,3156.510452
Bolivia,1987,6156369,Americas,57.251,2753.69149
Bolivia,1992,6893451,Americas,59.957,2961.699694
Bolivia,1997,7693188,Americas,62.05,3326.143191
Bolivia,2002,8445134,Americas,63.883,3413.26269
Bolivia,2007,9119152,Americas,65.554,3822.137084
Bosnia and Herzegovina,1952,2791000,Europe,53.82,973.5331948
Bosnia and Herzegovina,1957,3076000,Europe,58.45,1353.989176
Bosnia and Herzegovina,1962,3349000,Europe,61.93,1709.683679
Bosnia and Herzegovina,1967,3585000,Europe,64.79,2172.352423
Bosnia and Herzegovina,1972,3819000,Europe,67.45,2860.16975
Bosnia and Herzegovina,1977,4086000,Europe,69.86,3528.481305
Bosnia and Herzegovina,1982,4172693,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977,Europe,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198,Europe,74.852,7446.298803
Botswana,1952,442308,Africa,47.622,851.2411407
Botswana,1957,474639,Africa,49.618,918.2325349
Botswana,1962,512764,Africa,51.52,983.6539764
Botswana,1967,553541,Africa,53.298,1214.709294
Botswana,1972,619351,Africa,56.024,2263.611114
Botswana,1977,781472,Africa,59.319,3214.857818
Botswana,1982,970347,Africa,61.484,4551.14215
Botswana,1987,1151184,Africa,63.622,6205.88385
Botswana,1992,1342614,Africa,62.745,7954.111645
Botswana,1997,1536536,Africa,52.556,8647.142313
Botswana,2002,1630347,Africa,46.634,11003.60508
Botswana,2007,1639131,Africa,50.728,12569.85177
Brazil,1952,56602560,Americas,50.917,2108.944355
Brazil,1957,65551171,Americas,53.285,2487.365989
Brazil,1962,76039390,Americas,55.665,3336.585802
Brazil,1967,88049823,Americas,57.632,3429.864357
Brazil,1972,100840058,Americas,59.504,4985.711467
Brazil,1977,114313951,Americas,61.489,6660.118654
Brazil,1982,128962939,Americas,63.336,7030.835878
Brazil,1987,142938076,Americas,65.205,7807.095818
Brazil,1992,155975974,Americas,67.057,6950.283021
Brazil,1997,168546719,Americas,69.388,7957.980824
Brazil,2002,179914212,Americas,71.006,8131.212843
Brazil,2007,190010647,Americas,72.39,9065.800825
Bulgaria,1952,7274900,Europe,59.6,2444.286648
Bulgaria,1957,7651254,Europe,66.61,3008.670727
Bulgaria,1962,8012946,Europe,69.51,4254.337839
Bulgaria,1967,8310226,Europe,70.42,5577.0028
Bulgaria,1972,8576200,Europe,70.9,6597.494398
Bulgaria,1977,8797022,Europe,70.81,7612.240438
Bulgaria,1982,8892098,Europe,71.08,8224.191647
Bulgaria,1987,8971958,Europe,71.34,8239.854824
Bulgaria,1992,8658506,Europe,71.19,6302.623438
Bulgaria,1997,8066057,Europe,70.32,5970.38876
Bulgaria,2002,7661799,Europe,72.14,7696.777725
Bulgaria,2007,7322858,Europe,73.005,10680.79282
Burkina Faso,1952,4469979,Africa,31.975,543.2552413
Burkina Faso,1957,4713416,Africa,34.906,617.1834648
Burkina Faso,1962,4919632,Africa,37.814,722.5120206
Burkina Faso,1967,5127935,Africa,40.697,794.8265597
Burkina Faso,1972,5433886,Africa,43.591,854.7359763
Burkina Faso,1977,5889574,Africa,46.137,743.3870368
Burkina Faso,1982,6634596,Africa,48.122,807.1985855
Burkina Faso,1987,7586551,Africa,49.557,912.0631417
Burkina Faso,1992,8878303,Africa,50.26,931.7527731
Burkina Faso,1997,10352843,Africa,50.324,946.2949618
Burkina Faso,2002,12251209,Africa,50.65,1037.645221
Burkina Faso,2007,14326203,Africa,52.295,1217.032994
Burundi,1952,2445618,Africa,39.031,339.2964587
Burundi,1957,2667518,Africa,40.533,379.5646281
Burundi,1962,2961915,Africa,42.045,355.2032273
Burundi,1967,3330989,Africa,43.548,412.9775136
Burundi,1972,3529983,Africa,44.057,464.0995039
Burundi,1977,3834415,Africa,45.91,556.1032651
Burundi,1982,4580410,Africa,47.471,559.603231
Burundi,1987,5126023,Africa,48.211,621.8188189
Burundi,1992,5809236,Africa,44.736,631.6998778
Burundi,1997,6121610,Africa,45.326,463.1151478
Burundi,2002,7021078,Africa,47.36,446.4035126
Burundi,2007,8390505,Africa,49.58,430.0706916
Cambodia,1952,4693836,Asia,39.417,368.4692856
Cambodia,1957,5322536,Asia,41.366,434.0383364
Cambodia,1962,6083619,Asia,43.415,496.9136476
Cambodia,1967,6960067,Asia,45.415,523.4323142
Cambodia,1972,7450606,Asia,40.317,421.6240257
Cambodia,1977,6978607,Asia,31.22,524.9721832
Cambodia,1982,7272485,Asia,50.957,624.4754784
Cambodia,1987,8371791,Asia,53.914,683.8955732
Cambodia,1992,10150094,Asia,55.803,682.3031755
Cambodia,1997,11782962,Asia,56.534,734.28517
Cambodia,2002,12926707,Asia,56.752,896.2260153
Cambodia,2007,14131858,Asia,59.723,1713.778686
Cameroon,1952,5009067,Africa,38.523,1172.667655
Cameroon,1957,5359923,Africa,40.428,1313.048099
Cameroon,1962,5793633,Africa,42.643,1399.607441
Cameroon,1967,6335506,Africa,44.799,1508.453148
Cameroon,1972,7021028,Africa,47.049,1684.146528
Cameroon,1977,7959865,Africa,49.355,1783.432873
Cameroon,1982,9250831,Africa,52.961,2367.983282
Cameroon,1987,10780667,Africa,54.985,2602.664206
Cameroon,1992,12467171,Africa,54.314,1793.163278
Cameroon,1997,14195809,Africa,52.199,1694.337469
Cameroon,2002,15929988,Africa,49.856,1934.011449
Cameroon,2007,17696293,Africa,50.43,2042.09524
Canada,1952,14785584,Americas,68.75,11367.16112
Canada,1957,17010154,Americas,69.96,12489.95006
Canada,1962,18985849,Americas,71.3,13462.48555
Canada,1967,20819767,Americas,72.13,16076.58803
Canada,1972,22284500,Americas,72.88,18970.57086
Canada,1977,23796400,Americas,74.21,22090.88306
Canada,1982,25201900,Americas,75.76,22898.79214
Canada,1987,26549700,Americas,76.86,26626.51503
Canada,1992,28523502,Americas,77.95,26342.88426
Canada,1997,30305843,Americas,78.61,28954.92589
Canada,2002,31902268,Americas,79.77,33328.96507
Canada,2007,33390141,Americas,80.653,36319.23501
Central African Republic,1952,1291695,Africa,35.463,1071.310713
Central African Republic,1957,1392284,Africa,37.464,1190.844328
Central African Republic,1962,1523478,Africa,39.475,1193.068753
Central African Republic,1967,1733638,Africa,41.478,1136.056615
Central African Republic,1972,1927260,Africa,43.457,1070.013275
Central African Republic,1977,2167533,Africa,46.775,1109.374338
Central African Republic,1982,2476971,Africa,48.295,956.7529907
Central African Republic,1987,2840009,Africa,50.485,844.8763504
Central African Republic,1992,3265124,Africa,49.396,747.9055252
Central African Republic,1997,3696513,Africa,46.066,740.5063317
Central African Republic,2002,4048013,Africa,43.308,738.6906068
Central African Republic,2007,4369038,Africa,44.741,706.016537
Chad,1952,2682462,Africa,38.092,1178.665927
Chad,1957,2894855,Africa,39.881,1308.495577
Chad,1962,3150417,Africa,41.716,1389.817618
Chad,1967,3495967,Africa,43.601,1196.810565
Chad,1972,3899068,Africa,45.569,1104.103987
Chad,1977,4388260,Africa,47.383,1133.98495
Chad,1982,4875118,Africa,49.517,797.9081006
Chad,1987,5498955,Africa,51.051,952.386129
Chad,1992,6429417,Africa,51.724,1058.0643
Chad,1997,7562011,Africa,51.573,1004.961353
Chad,2002,8835739,Africa,50.525,1156.18186
Chad,2007,10238807,Africa,50.651,1704.063724
Chile,1952,6377619,Americas,54.745,3939.978789
Chile,1957,7048426,Americas,56.074,4315.622723
Chile,1962,7961258,Americas,57.924,4519.094331
Chile,1967,8858908,Americas,60.523,5106.654313
Chile,1972,9717524,Americas,63.441,5494.024437
Chile,1977,10599793,Americas,67.052,4756.763836
Chile,1982,11487112,Americas,70.565,5095.665738
Chile,1987,12463354,Americas,72.492,5547.063754
Chile,1992,13572994,Americas,74.126,7596.125964
Chile,1997,14599929,Americas,75.816,10118.05318
Chile,2002,15497046,Americas,77.86,10778.78385
Chile,2007,16284741,Americas,78.553,13171.63885
China,1952,556263528.0,Asia,44,400.4486107
China,1957,637408000,Asia,50.54896,575.9870009
China,1962,665770000,Asia,44.50136,487.6740183
China,1967,754550000,Asia,58.38112,612.7056934
China,1972,862030000,Asia,63.11888,676.9000921
China,1977,943455000,Asia,63.96736,741.2374699
China,1982,1000281000,Asia,65.525,962.4213805
China,1987,1084035000,Asia,67.274,1378.904018
China,1992,1164970000,Asia,68.69,1655.784158
China,1997,1230075000,Asia,70.426,2289.234136
China,2002,1280400000,Asia,72.028,3119.280896
China,2007,1318683096,Asia,72.961,4959.114854
Colombia,1952,12350771,Americas,50.643,2144.115096
Colombia,1957,14485993,Americas,55.118,2323.805581
Colombia,1962,17009885,Americas,57.863,2492.351109
Colombia,1967,19764027,Americas,59.963,2678.729839
Colombia,1972,22542890,Americas,61.623,3264.660041
Colombia,1977,25094412,Americas,63.837,3815.80787
Colombia,1982,27764644,Americas,66.653,4397.575659
Colombia,1987,30964245,Americas,67.768,4903.2191
Colombia,1992,34202721,Americas,68.421,5444.648617
Colombia,1997,37657830,Americas,70.313,6117.361746
Colombia,2002,41008227,Americas,71.682,5755.259962
Colombia,2007,44227550,Americas,72.889,7006.580419
Comoros,1952,153936,Africa,40.715,1102.990936
Comoros,1957,170928,Africa,42.46,1211.148548
Comoros,1962,191689,Africa,44.467,1406.648278
Comoros,1967,217378,Africa,46.472,1876.029643
Comoros,1972,250027,Africa,48.944,1937.577675
Comoros,1977,304739,Africa,50.939,1172.603047
Comoros,1982,348643,Africa,52.933,1267.100083
Comoros,1987,395114,Africa,54.926,1315.980812
Comoros,1992,454429,Africa,57.939,1246.90737
Comoros,1997,527982,Africa,60.66,1173.618235
Comoros,2002,614382,Africa,62.974,1075.811558
Comoros,2007,710960,Africa,65.152,986.1478792
"Congo, Dem. Rep.",1952,14100005,Africa,39.143,780.5423257
"Congo, Dem. Rep.",1957,15577932,Africa,40.652,905.8602303
"Congo, Dem. Rep.",1962,17486434,Africa,42.122,896.3146335
"Congo, Dem. Rep.",1967,19941073,Africa,44.056,861.5932424
"Congo, Dem. Rep.",1972,23007669,Africa,45.989,904.8960685
"Congo, Dem. Rep.",1977,26480870,Africa,47.804,795.757282
"Congo, Dem. Rep.",1982,30646495,Africa,47.784,673.7478181
"Congo, Dem. Rep.",1987,35481645,Africa,47.412,672.774812
"Congo, Dem. Rep.",1992,41672143,Africa,45.548,457.7191807
"Congo, Dem. Rep.",1997,47798986,Africa,42.587,312.188423
"Congo, Dem. Rep.",2002,55379852,Africa,44.966,241.1658765
"Congo, Dem. Rep.",2007,64606759,Africa,46.462,277.5518587
"Congo, Rep.",1952,854885,Africa,42.111,2125.621418
"Congo, Rep.",1957,940458,Africa,45.053,2315.056572
"Congo, Rep.",1962,1047924,Africa,48.435,2464.783157
"Congo, Rep.",1967,1179760,Africa,52.04,2677.939642
"Congo, Rep.",1972,1340458,Africa,54.907,3213.152683
"Congo, Rep.",1977,1536769,Africa,55.625,3259.178978
"Congo, Rep.",1982,1774735,Africa,56.695,4879.507522
"Congo, Rep.",1987,2064095,Africa,57.47,4201.194937
"Congo, Rep.",1992,2409073,Africa,56.433,4016.239529
"Congo, Rep.",1997,2800947,Africa,52.962,3484.164376
"Congo, Rep.",2002,3328795,Africa,52.97,3484.06197
"Congo, Rep.",2007,3800610,Africa,55.322,3632.557798
Costa Rica,1952,926317,Americas,57.206,2627.009471
Costa Rica,1957,1112300,Americas,60.026,2990.010802
Costa Rica,1962,1345187,Americas,62.842,3460.937025
Costa Rica,1967,1588717,Americas,65.424,4161.727834
Costa Rica,1972,1834796,Americas,67.849,5118.146939
Costa Rica,1977,2108457,Americas,70.75,5926.876967
Costa Rica,1982,2424367,Americas,73.45,5262.734751
Costa Rica,1987,2799811,Americas,74.752,5629.915318
Costa Rica,1992,3173216,Americas,75.713,6160.416317
Costa Rica,1997,3518107,Americas,77.26,6677.045314
Costa Rica,2002,3834934,Americas,78.123,7723.447195
Costa Rica,2007,4133884,Americas,78.782,9645.06142
Cote d'Ivoire,1952,2977019,Africa,40.477,1388.594732
Cote d'Ivoire,1957,3300000,Africa,42.469,1500.895925
Cote d'Ivoire,1962,3832408,Africa,44.93,1728.869428
Cote d'Ivoire,1967,4744870,Africa,47.35,2052.050473
Cote d'Ivoire,1972,6071696,Africa,49.801,2378.201111
Cote d'Ivoire,1977,7459574,Africa,52.374,2517.736547
Cote d'Ivoire,1982,9025951,Africa,53.983,2602.710169
Cote d'Ivoire,1987,10761098,Africa,54.655,2156.956069
Cote d'Ivoire,1992,12772596,Africa,52.044,1648.073791
Cote d'Ivoire,1997,14625967,Africa,47.991,1786.265407
Cote d'Ivoire,2002,16252726,Africa,46.832,1648.800823
Cote d'Ivoire,2007,18013409,Africa,48.328,1544.750112
Croatia,1952,3882229,Europe,61.21,3119.23652
Croatia,1957,3991242,Europe,64.77,4338.231617
Croatia,1962,4076557,Europe,67.13,5477.890018
Croatia,1967,4174366,Europe,68.5,6960.297861
Croatia,1972,4225310,Europe,69.61,9164.090127
Croatia,1977,4318673,Europe,70.64,11305.38517
Croatia,1982,4413368,Europe,70.46,13221.82184
Croatia,1987,4484310,Europe,71.52,13822.58394
Croatia,1992,4494013,Europe,72.527,8447.794873
Croatia,1997,4444595,Europe,73.68,9875.604515
Croatia,2002,4481020,Europe,74.876,11628.38895
Croatia,2007,4493312,Europe,75.748,14619.22272
Cuba,1952,6007797,Americas,59.421,5586.53878
Cuba,1957,6640752,Americas,62.325,6092.174359
Cuba,1962,7254373,Americas,65.246,5180.75591
Cuba,1967,8139332,Americas,68.29,5690.268015
Cuba,1972,8831348,Americas,70.723,5305.445256
Cuba,1977,9537988,Americas,72.649,6380.494966
Cuba,1982,9789224,Americas,73.717,7316.918107
Cuba,1987,10239839,Americas,74.174,7532.924763
Cuba,1992,10723260,Americas,74.414,5592.843963
Cuba,1997,10983007,Americas,76.151,5431.990415
Cuba,2002,11226999,Americas,77.158,6340.646683
Cuba,2007,11416987,Americas,78.273,8948.102923
Czech Republic,1952,9125183,Europe,66.87,6876.14025
Czech Republic,1957,9513758,Europe,69.03,8256.343918
Czech Republic,1962,9620282,Europe,69.9,10136.86713
Czech Republic,1967,9835109,Europe,70.38,11399.44489
Czech Republic,1972,9862158,Europe,70.29,13108.4536
Czech Republic,1977,10161915,Europe,70.71,14800.16062
Czech Republic,1982,10303704,Europe,70.96,15377.22855
Czech Republic,1987,10311597,Europe,71.58,16310.4434
Czech Republic,1992,10315702,Europe,72.4,14297.02122
Czech Republic,1997,10300707,Europe,74.01,16048.51424
Czech Republic,2002,10256295,Europe,75.51,17596.21022
Czech Republic,2007,10228744,Europe,76.486,22833.30851
Denmark,1952,4334000,Europe,70.78,9692.385245
Denmark,1957,4487831,Europe,71.81,11099.65935
Denmark,1962,4646899,Europe,72.35,13583.31351
Denmark,1967,4838800,Europe,72.96,15937.21123
Denmark,1972,4991596,Europe,73.47,18866.20721
Denmark,1977,5088419,Europe,74.69,20422.9015
Denmark,1982,5117810,Europe,74.63,21688.04048
Denmark,1987,5127024,Europe,74.8,25116.17581
Denmark,1992,5171393,Europe,75.33,26406.73985
Denmark,1997,5283663,Europe,76.11,29804.34567
Denmark,2002,5374693,Europe,77.18,32166.50006
Denmark,2007,5468120,Europe,78.332,35278.41874
Djibouti,1952,63149,Africa,34.812,2669.529475
Djibouti,1957,71851,Africa,37.328,2864.969076
Djibouti,1962,89898,Africa,39.693,3020.989263
Djibouti,1967,127617,Africa,42.074,3020.050513
Djibouti,1972,178848,Africa,44.366,3694.212352
Djibouti,1977,228694,Africa,46.519,3081.761022
Djibouti,1982,305991,Africa,48.812,2879.468067
Djibouti,1987,311025,Africa,50.04,2880.102568
Djibouti,1992,384156,Africa,51.604,2377.156192
Djibouti,1997,417908,Africa,53.157,1895.016984
Djibouti,2002,447416,Africa,53.373,1908.260867
Djibouti,2007,496374,Africa,54.791,2082.481567
Dominican Republic,1952,2491346,Americas,45.928,1397.717137
Dominican Republic,1957,2923186,Americas,49.828,1544.402995
Dominican Republic,1962,3453434,Americas,53.459,1662.137359
Dominican Republic,1967,4049146,Americas,56.751,1653.723003
Dominican Republic,1972,4671329,Americas,59.631,2189.874499
Dominican Republic,1977,5302800,Americas,61.788,2681.9889
Dominican Republic,1982,5968349,Americas,63.727,2861.092386
Dominican Republic,1987,6655297,Americas,66.046,2899.842175
Dominican Republic,1992,7351181,Americas,68.457,3044.214214
Dominican Republic,1997,7992357,Americas,69.957,3614.101285
Dominican Republic,2002,8650322,Americas,70.847,4563.808154
Dominican Republic,2007,9319622,Americas,72.235,6025.374752
Ecuador,1952,3548753,Americas,48.357,3522.110717
Ecuador,1957,4058385,Americas,51.356,3780.546651
Ecuador,1962,4681707,Americas,54.64,4086.114078
Ecuador,1967,5432424,Americas,56.678,4579.074215
Ecuador,1972,6298651,Americas,58.796,5280.99471
Ecuador,1977,7278866,Americas,61.31,6679.62326
Ecuador,1982,8365850,Americas,64.342,7213.791267
Ecuador,1987,9545158,Americas,67.231,6481.776993
Ecuador,1992,10748394,Americas,69.613,7103.702595
Ecuador,1997,11911819,Americas,72.312,7429.455877
Ecuador,2002,12921234,Americas,74.173,5773.044512
Ecuador,2007,13755680,Americas,74.994,6873.262326
Egypt,1952,22223309,Africa,41.893,1418.822445
Egypt,1957,25009741,Africa,44.444,1458.915272
Egypt,1962,28173309,Africa,46.992,1693.335853
Egypt,1967,31681188,Africa,49.293,1814.880728
Egypt,1972,34807417,Africa,51.137,2024.008147
Egypt,1977,38783863,Africa,53.319,2785.493582
Egypt,1982,45681811,Africa,56.006,3503.729636
Egypt,1987,52799062,Africa,59.797,3885.46071
Egypt,1992,59402198,Africa,63.674,3794.755195
Egypt,1997,66134291,Africa,67.217,4173.181797
Egypt,2002,73312559,Africa,69.806,4754.604414
Egypt,2007,80264543,Africa,71.338,5581.180998
El Salvador,1952,2042865,Americas,45.262,3048.3029
El Salvador,1957,2355805,Americas,48.57,3421.523218
El Salvador,1962,2747687,Americas,52.307,3776.803627
El Salvador,1967,3232927,Americas,55.855,4358.595393
El Salvador,1972,3790903,Americas,58.207,4520.246008
El Salvador,1977,4282586,Americas,56.696,5138.922374
El Salvador,1982,4474873,Americas,56.604,4098.344175
El Salvador,1987,4842194,Americas,63.154,4140.442097
El Salvador,1992,5274649,Americas,66.798,4444.2317
El Salvador,1997,5783439,Americas,69.535,5154.825496
El Salvador,2002,6353681,Americas,70.734,5351.568666
El Salvador,2007,6939688,Americas,71.878,5728.353514
Equatorial Guinea,1952,216964,Africa,34.482,375.6431231
Equatorial Guinea,1957,232922,Africa,35.983,426.0964081
Equatorial Guinea,1962,249220,Africa,37.485,582.8419714
Equatorial Guinea,1967,259864,Africa,38.987,915.5960025
Equatorial Guinea,1972,277603,Africa,40.516,672.4122571
Equatorial Guinea,1977,192675,Africa,42.024,958.5668124
Equatorial Guinea,1982,285483,Africa,43.662,927.8253427
Equatorial Guinea,1987,341244,Africa,45.664,966.8968149
Equatorial Guinea,1992,387838,Africa,47.545,1132.055034
Equatorial Guinea,1997,439971,Africa,48.245,2814.480755
Equatorial Guinea,2002,495627,Africa,49.348,7703.4959
Equatorial Guinea,2007,551201,Africa,51.579,12154.08975
Eritrea,1952,1438760,Africa,35.928,328.9405571
Eritrea,1957,1542611,Africa,38.047,344.1618859
Eritrea,1962,1666618,Africa,40.158,380.9958433
Eritrea,1967,1820319,Africa,42.189,468.7949699
Eritrea,1972,2260187,Africa,44.142,514.3242082
Eritrea,1977,2512642,Africa,44.535,505.7538077
Eritrea,1982,2637297,Africa,43.89,524.8758493
Eritrea,1987,2915959,Africa,46.453,521.1341333
Eritrea,1992,3668440,Africa,49.991,582.8585102
Eritrea,1997,4058319,Africa,53.378,913.47079
Eritrea,2002,4414865,Africa,55.24,765.3500015
Eritrea,2007,4906585,Africa,58.04,641.3695236
Ethiopia,1952,20860941,Africa,34.078,362.1462796
Ethiopia,1957,22815614,Africa,36.667,378.9041632
Ethiopia,1962,25145372,Africa,40.059,419.4564161
Ethiopia,1967,27860297,Africa,42.115,516.1186438
Ethiopia,1972,30770372,Africa,43.515,566.2439442
Ethiopia,1977,34617799,Africa,44.51,556.8083834
Ethiopia,1982,38111756,Africa,44.916,577.8607471
Ethiopia,1987,42999530,Africa,46.684,573.7413142
Ethiopia,1992,52088559,Africa,48.091,421.3534653
Ethiopia,1997,59861301,Africa,49.402,515.8894013
Ethiopia,2002,67946797,Africa,50.725,530.0535319
